001	2018-04-01	ДА
001	2018-04-01	ДА	ЛФ Курляндская группа войск
001	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ударная армия
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	1 гв. ск
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	53 гв.
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	267 сд
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	10 ск 
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	91 сд
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	279 сд
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	347 сд
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	63 ск 
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	77 сд
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	87 сд
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	417 сд
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	21 адп 
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	66 лабр
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	8 пад 
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	28 гв. пабр
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	151 пабр
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	827 гап
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	125 минп
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	99 гв. мп
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	1267 зенап
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	1276 зенап
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	1279 зенап
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	2014 зенап
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	46 зенад 
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	617 зенап
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	618 зенап
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	717 зенап
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	39 гв. тбр
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	1489 сап
007	2018-04-01	ДА	ЛФ Курляндская группа войск	51 армия	17 исбр
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	5 гв. бак
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	4 гв. бад
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	5 гв. бад
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	7 шак 
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	206 шад
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	289 шад
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	1 гв. иак 
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	3 гв. иад
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	4 гв. иад
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	14 иак 
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	185 иад
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	315 иад
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	284 нбад
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	313 нбад
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	225 шад
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	305 шад
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	99 гв. рап
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	699 трап
008	2018-04-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	87 нбаэ
009	2018-04-01	ДА	ЛФ Курляндская группа войск	1 ск
009	2018-04-01	ДА	ЛФ Курляндская группа войск	344 сд
009	2018-04-01	ДА	ЛФ Курляндская группа войск	357 сд
009	2018-04-01	ДА	ЛФ Курляндская группа войск	21 адп 
009	2018-04-01	ДА	ЛФ Курляндская группа войск	64 тпабр
009	2018-04-01	ДА	ЛФ Курляндская группа войск	103 габр БМ
009	2018-04-01	ДА	ЛФ Курляндская группа войск	25 минбр
009	2018-04-01	ДА	ЛФ Курляндская группа войск	6 гв. адп 
009	2018-04-01	ДА	ЛФ Курляндская группа войск	13 гв. орадн
009	2018-04-01	ДА	ЛФ Курляндская группа войск	28 адп 
009	2018-04-01	ДА	ЛФ Курляндская группа войск	165 габр БМ
009	2018-04-01	ДА	ЛФ Курляндская группа войск	408 минп
009	2018-04-01	ДА	ЛФ Курляндская группа войск	46 зенад 
009	2018-04-01	ДА	ЛФ Курляндская группа войск	609 зенап
009	2018-04-01	ДА	ЛФ Курляндская группа войск	243 зенап
009	2018-04-01	ДА	ЛФ Курляндская группа войск	601 зенап
009	2018-04-01	ДА	ЛФ Курляндская группа войск	1477 зенап
009	2018-04-01	ДА	ЛФ Курляндская группа войск	1623 зенап
009	2018-04-01	ДА	ЛФ Курляндская группа войск	1625 зенап
009	2018-04-01	ДА	ЛФ Курляндская группа войск	1714 зенап
009	2018-04-01	ДА	ЛФ Курляндская группа войск	64 гв.
009	2018-04-01	ДА	ЛФ Курляндская группа войск	183 озадн
009	2018-04-01	ДА	ЛФ Курляндская группа войск	221 озадн
009	2018-04-01	ДА	ЛФ Курляндская группа войск	239 озадн
009	2018-04-01	ДА	ЛФ Курляндская группа войск	242 озадн
009	2018-04-01	ДА	ЛФ Курляндская группа войск	386 озадн
009	2018-04-01	ДА	ЛФ Курляндская группа войск	467 озадн
009	2018-04-01	ДА	ЛФ Курляндская группа войск	622 озадн
009	2018-04-01	ДА	ЛФ Курляндская группа войск	3 гв. мк 
009	2018-04-01	ДА	ЛФ Курляндская группа войск	7 гв. мехбр
009	2018-04-01	ДА	ЛФ Курляндская группа войск	8 гв. мехбр
009	2018-04-01	ДА	ЛФ Курляндская группа войск	9 гв. мехбр
009	2018-04-01	ДА	ЛФ Курляндская группа войск	64 гв. ттп
009	2018-04-01	ДА	ЛФ Курляндская группа войск	1510 сап
009	2018-04-01	ДА	ЛФ Курляндская группа войск	1823 сап
009	2018-04-01	ДА	ЛФ Курляндская группа войск	743 иптдн
009	2018-04-01	ДА	ЛФ Курляндская группа войск	334 гв. мдн
009	2018-04-01	ДА	ЛФ Курляндская группа войск	19 тк 
009	2018-04-01	ДА	ЛФ Курляндская группа войск	79 тбр
009	2018-04-01	ДА	ЛФ Курляндская группа войск	101 тбр
009	2018-04-01	ДА	ЛФ Курляндская группа войск	202 тбр
009	2018-04-01	ДА	ЛФ Курляндская группа войск	8 гв. ттп
009	2018-04-01	ДА	ЛФ Курляндская группа войск	867 сап
009	2018-04-01	ДА	ЛФ Курляндская группа войск	1452 сап
009	2018-04-01	ДА	ЛФ Курляндская группа войск	179 минп
009	2018-04-01	ДА	ЛФ Курляндская группа войск	1717 зенап
009	2018-04-01	ДА	ЛФ Курляндская группа войск	31 гв. тп
009	2018-04-01	ДА	ЛФ Курляндская группа войск	27 гв. ттп
009	2018-04-01	ДА	ЛФ Курляндская группа войск	1056 сап
009	2018-04-01	ДА	ЛФ Курляндская группа войск	1102 сап
009	2018-04-01	ДА	ЛФ Курляндская группа войск	1492 сап
009	2018-04-01	ДА	ЛФ Курляндская группа войск	134 озенбрп
009	2018-04-01	ДА	ЛФ Курляндская группа войск	1003 санап
009	2018-04-01	ДА	ЛФ Курляндская группа войск	8 мибр
009	2018-04-01	ДА	ЛФ Курляндская группа войск	36 оибми
009	2018-04-01	ДА	ЛФ Курляндская группа войск	75 оибми
010	2018-04-01	ДА	ЛФ
010	2018-04-01	ДА	ЛФ	8 армия
010	2018-04-01	ДА	ЛФ	8 армия	6 ск
010	2018-04-01	ДА	ЛФ	8 армия	10 сд
010	2018-04-01	ДА	ЛФ	8 армия	327 сд
010	2018-04-01	ДА	ЛФ	8 армия	382 сд
010	2018-04-01	ДА	ЛФ	8 армия	109 ск 
010	2018-04-01	ДА	ЛФ	8 армия	109 сд
010	2018-04-01	ДА	ЛФ	8 армия	131 сд
010	2018-04-01	ДА	ЛФ	8 армия	14 УР
010	2018-04-01	ДА	ЛФ	8 армия	79 УР
010	2018-04-01	ДА	ЛФ	8 армия	124 опаб
010	2018-04-01	ДА	ЛФ	8 армия	345 опаб
010	2018-04-01	ДА	ЛФ	8 армия	51 пабр
010	2018-04-01	ДА	ЛФ	8 армия	161 пабр
010	2018-04-01	ДА	ЛФ	8 армия	70 пап
010	2018-04-01	ДА	ЛФ	8 армия	260 пап
010	2018-04-01	ДА	ЛФ	8 армия	1486 пап
010	2018-04-01	ДА	ЛФ	8 армия	184 минп
010	2018-04-01	ДА	ЛФ	8 армия	499 минп
010	2018-04-01	ДА	ЛФ	8 армия	505 минп
010	2018-04-01	ДА	ЛФ	8 армия	30 гв. мп
010	2018-04-01	ДА	ЛФ	8 армия	465 зенап
010	2018-04-01	ДА	ЛФ	8 армия	474 зенап
010	2018-04-01	ДА	ЛФ	8 армия	602 зенап
010	2018-04-01	ДА	ЛФ	8 армия	632 зенап
010	2018-04-01	ДА	ЛФ	8 армия	108 озадн
010	2018-04-01	ДА	ЛФ	8 армия	116 озадн
010	2018-04-01	ДА	ЛФ	8 армия	432 озадн
010	2018-04-01	ДА	ЛФ	8 армия	45 отп
010	2018-04-01	ДА	ЛФ	8 армия	71 одн брп
010	2018-04-01	ДА	ЛФ	8 армия	72 одн брп
010	2018-04-01	ДА	ЛФ	8 армия	1 исбр
011	2018-04-01	ДА	ЛФ	23 армия
011	2018-04-01	ДА	ЛФ	23 армия	97 ск
011	2018-04-01	ДА	ЛФ	23 армия	177 сд
011	2018-04-01	ДА	ЛФ	23 армия	178 сд
011	2018-04-01	ДА	ЛФ	23 армия	224 сд
011	2018-04-01	ДА	ЛФ	23 армия	16 УР
011	2018-04-01	ДА	ЛФ	23 армия	17 УР
011	2018-04-01	ДА	ЛФ	23 армия	47 гв. пабр
011	2018-04-01	ДА	ЛФ	23 армия	21 пап
011	2018-04-01	ДА	ЛФ	23 армия	174 минп
011	2018-04-01	ДА	ЛФ	23 армия	1469 зенап
011	2018-04-01	ДА	ЛФ	23 армия	168 озадн
011	2018-04-01	ДА	ЛФ	23 армия	177 озадн
011	2018-04-01	ДА	ЛФ	23 армия	618 озадн
011	2018-04-01	ДА	ЛФ	23 армия	14 одн брп
011	2018-04-01	ДА	ЛФ	23 армия	172 оиб
012	2018-04-01	ДА	ЛФ	67 армия
012	2018-04-01	ДА	ЛФ	67 армия	111 ск
012	2018-04-01	ДА	ЛФ	67 армия	189 сд
012	2018-04-01	ДА	ЛФ	67 армия	196 сд
012	2018-04-01	ДА	ЛФ	67 армия	7 пабр
012	2018-04-01	ДА	ЛФ	67 армия	533 минп
012	2018-04-01	ДА	ЛФ	67 армия	41 зенад 
012	2018-04-01	ДА	ЛФ	67 армия	244 зенап
012	2018-04-01	ДА	ЛФ	67 армия	245 зенап
012	2018-04-01	ДА	ЛФ	67 армия	463 зенап
012	2018-04-01	ДА	ЛФ	67 армия	634 зенап
012	2018-04-01	ДА	ЛФ	67 армия	72 озадн
013	2018-04-01	ДА	ЛФ	13 воздушная армия
013	2018-04-01	ДА	ЛФ	13 воздушная армия	1583 зенап
013	2018-04-01	ДА	ЛФ	13 воздушная армия	1674 зенап
013	2018-04-01	ДА	ЛФ	13 воздушная армия	281 шад
013	2018-04-01	ДА	ЛФ	13 воздушная армия	13 рап
