001	1945-05-01	ДА
001	1945-05-01	ДА	ЛФ Курляндская группа войск
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	34 гв. мп
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	60 гв. мп
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	1385 зенап
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	1391 зенап
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	1397 зенап
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	1399 зенап
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	1714 зенап
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	34 гв. ттбр
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	32 гв. ттп
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	346 гв. тсап
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	1048 сап
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	1102 сап
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	1503 сап
001	1945-05-01	ДА	ЛФ Курляндская группа войск	1 ударная армия	49 исбр
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	84 ск
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	164 сд
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	270 сд
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	92 ск 
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	156 сд
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	179 сд
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	257 сд
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	32 сд
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	138 пабр
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	556 минп
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	205 зенап
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	402 зенап
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	430 зенап
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	442 зенап
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	272 омб ОСНАЗ
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	285 омб ОСНАЗ
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	2 исбр
002	1945-05-01	ДА	ЛФ Курляндская группа войск	4 ударная армия	12 ооб
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	2 гв. ск
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	9 гв.
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	71 гв.
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	22 гв. ск 
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	46 гв.
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	29 сд
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	30 гв. ск 
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	45 гв. сд
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	63 гв. сд
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	64 гв. сд
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	4 пабр
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	295 минп
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	39 зенад 
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	1406 зенап
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	1410 зенап
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	1414 зенап
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	1526 зенап
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	31 гв. ттп
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	1900 сап
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	5 шисбр
003	1945-05-01	ДА	ЛФ Курляндская группа войск	6 гвардейская армия	44 ооб
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	7 гв. ск
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	7 гв. сд
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	8 гв. сд
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	119 гв. сд
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	15 гв. ск 
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	29 гв. сд
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	30 гв. сд
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	85 гв. сд
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	19 гв. ск 
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	22 гв.
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	56 гв.
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	65 гв.
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	19 гв. пабр
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	274 минп
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	715 зенап
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	718 зенап
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	721 зенап
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	2013 зенап
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	957 сап
004	1945-05-01	ДА	ЛФ Курляндская группа войск	10 гвардейская армия	13 исбр
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	14 гв. ск
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	11 сд
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	288 сд
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	122 ск 
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	56 сд
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	85 сд
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	130 лат. ск 
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	43 гв.
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	118 УР
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	141 пабр
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	122 минп
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	408 минп
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	310 гв. мп
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	620 зенап
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	709 зенап
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	714 зенап
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	729 зенап
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	397 озадн
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	1052 сап
005	1945-05-01	ДА	ЛФ Курляндская группа войск	42 армия	24 исбр
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	1 гв. ск
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	53 гв.
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	267 сд
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	10 ск 
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	91 сд
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	279 сд
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	347 сд
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	63 ск 
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	77 сд
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	87 сд
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	417 сд
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	21 адп 
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	66 лабр
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	151 пабр
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	764 иптап
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	99 гв. мп
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	1267 зенап
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	1276 зенап
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	1279 зенап
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	2014 зенап
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	46 зенад 
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	617 зенап
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	618 зенап
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	717 зенап
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	39 гв. тбр
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	1056 сап
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	1489 сап
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	1492 сап
006	1945-05-01	ДА	ЛФ Курляндская группа войск	51 армия	17 исбр
007	1945-05-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия
007	1945-05-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	5 гв. бак
007	1945-05-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	4 гв. бад
007	1945-05-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	5 гв. бад
007	1945-05-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	14 иак 
007	1945-05-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	185 иад
007	1945-05-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	315 иад
007	1945-05-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	313 нбад
007	1945-05-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	225 шад
007	1945-05-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	305 шад
007	1945-05-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	99 гв. рап
007	1945-05-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	699 трап
007	1945-05-01	ДА	ЛФ Курляндская группа войск	15 воздушная армия	87 нбаэ
008	1945-05-01	ДА	ЛФ Курляндская группа войск	19 ск
008	1945-05-01	ДА	ЛФ Курляндская группа войск	43 сд
008	1945-05-01	ДА	ЛФ Курляндская группа войск	157 УР
008	1945-05-01	ДА	ЛФ Курляндская группа войск	8 пад 
008	1945-05-01	ДА	ЛФ Курляндская группа войск	26 гв. пабр
008	1945-05-01	ДА	ЛФ Курляндская группа войск	27 гв. пабр
008	1945-05-01	ДА	ЛФ Курляндская группа войск	28 гв. пабр
008	1945-05-01	ДА	ЛФ Курляндская группа войск	21 адп 
008	1945-05-01	ДА	ЛФ Курляндская группа войск	64 тпабр
008	1945-05-01	ДА	ЛФ Курляндская группа войск	103 габр БМ
008	1945-05-01	ДА	ЛФ Курляндская группа войск	25 минбр
008	1945-05-01	ДА	ЛФ Курляндская группа войск	28 адп 
008	1945-05-01	ДА	ЛФ Курляндская группа войск	188 лабр
008	1945-05-01	ДА	ЛФ Курляндская группа войск	165 габр БМ
008	1945-05-01	ДА	ЛФ Курляндская группа войск	36 минбр
008	1945-05-01	ДА	ЛФ Курляндская группа войск	39 гв. мбр
008	1945-05-01	ДА	ЛФ Курляндская группа войск	1486 пап
008	1945-05-01	ДА	ЛФ Курляндская группа войск	395 гап
008	1945-05-01	ДА	ЛФ Курляндская группа войск	27 гв. мп
008	1945-05-01	ДА	ЛФ Курляндская группа войск	90 гв. мп
008	1945-05-01	ДА	ЛФ Курляндская группа войск	244 зенап
008	1945-05-01	ДА	ЛФ Курляндская группа войск	245 зенап
008	1945-05-01	ДА	ЛФ Курляндская группа войск	463 зенап
008	1945-05-01	ДА	ЛФ Курляндская группа войск	634 зенап
008	1945-05-01	ДА	ЛФ Курляндская группа войск	46 зенад 
008	1945-05-01	ДА	ЛФ Курляндская группа войск	609 зенап
008	1945-05-01	ДА	ЛФ Курляндская группа войск	243 зенап
008	1945-05-01	ДА	ЛФ Курляндская группа войск	601 зенап
008	1945-05-01	ДА	ЛФ Курляндская группа войск	1477 зенап
008	1945-05-01	ДА	ЛФ Курляндская группа войск	1623 зенап
008	1945-05-01	ДА	ЛФ Курляндская группа войск	1625 зенап
008	1945-05-01	ДА	ЛФ Курляндская группа войск	64 гв.
008	1945-05-01	ДА	ЛФ Курляндская группа войск	183 озадн
008	1945-05-01	ДА	ЛФ Курляндская группа войск	221 озадн
008	1945-05-01	ДА	ЛФ Курляндская группа войск	239 озадн
008	1945-05-01	ДА	ЛФ Курляндская группа войск	242 озадн
008	1945-05-01	ДА	ЛФ Курляндская группа войск	467 озадн
008	1945-05-01	ДА	ЛФ Курляндская группа войск	622 озадн
008	1945-05-01	ДА	ЛФ Курляндская группа войск	3 гв. мк 
008	1945-05-01	ДА	ЛФ Курляндская группа войск	7 гв. мехбр
008	1945-05-01	ДА	ЛФ Курляндская группа войск	8 гв. мехбр
008	1945-05-01	ДА	ЛФ Курляндская группа войск	9 гв. мехбр
008	1945-05-01	ДА	ЛФ Курляндская группа войск	64 гв. ттп
008	1945-05-01	ДА	ЛФ Курляндская группа войск	1510 сап
008	1945-05-01	ДА	ЛФ Курляндская группа войск	1823 сап
008	1945-05-01	ДА	ЛФ Курляндская группа войск	743 иптдн
008	1945-05-01	ДА	ЛФ Курляндская группа войск	334 гв. мдн
008	1945-05-01	ДА	ЛФ Курляндская группа войск	133 озенбрп
008	1945-05-01	ДА	ЛФ Курляндская группа войск	134 озенбрп
008	1945-05-01	ДА	ЛФ Курляндская группа войск	1003 санап
008	1945-05-01	ДА	ЛФ Курляндская группа войск	10 шисбр
008	1945-05-01	ДА	ЛФ Курляндская группа войск	19 шисбр
008	1945-05-01	ДА	ЛФ Курляндская группа войск	75 оибми
008	1945-05-01	ДА	ЛФ Курляндская группа войск	58 мпмб
008	1945-05-01	ДА	ЛФ Курляндская группа войск	94 мпмб
008	1945-05-01	ДА	ЛФ Курляндская группа войск	206 орро
008	1945-05-01	ДА	ЛФ Курляндская группа войск	42 ооб
009	1945-05-01	ДА	ЛФ
009	1945-05-01	ДА	ЛФ	8 армия
009	1945-05-01	ДА	ЛФ	8 армия	6 ск
009	1945-05-01	ДА	ЛФ	8 армия	10 сд
009	1945-05-01	ДА	ЛФ	8 армия	327 сд
009	1945-05-01	ДА	ЛФ	8 армия	109 ск 
009	1945-05-01	ДА	ЛФ	8 армия	109 сд
009	1945-05-01	ДА	ЛФ	8 армия	131 сд
009	1945-05-01	ДА	ЛФ	8 армия	14 УР
009	1945-05-01	ДА	ЛФ	8 армия	79 УР
009	1945-05-01	ДА	ЛФ	8 армия	51 пабр
009	1945-05-01	ДА	ЛФ	8 армия	161 пабр
009	1945-05-01	ДА	ЛФ	8 армия	70 пап
009	1945-05-01	ДА	ЛФ	8 армия	260 пап
009	1945-05-01	ДА	ЛФ	8 армия	499 минп
009	1945-05-01	ДА	ЛФ	8 армия	505 минп
009	1945-05-01	ДА	ЛФ	8 армия	7 зенад 
009	1945-05-01	ДА	ЛФ	8 армия	465 зенап
009	1945-05-01	ДА	ЛФ	8 армия	474 зенап
009	1945-05-01	ДА	ЛФ	8 армия	602 зенап
009	1945-05-01	ДА	ЛФ	8 армия	632 зенап
009	1945-05-01	ДА	ЛФ	8 армия	108 озадн
009	1945-05-01	ДА	ЛФ	8 армия	116 озадн
009	1945-05-01	ДА	ЛФ	8 армия	432 озадн
009	1945-05-01	ДА	ЛФ	8 армия	45 отп
009	1945-05-01	ДА	ЛФ	8 армия	4 обрп
009	1945-05-01	ДА	ЛФ	8 армия	1 исбр
010	1945-05-01	ДА	ЛФ	23 армия
010	1945-05-01	ДА	ЛФ	23 армия	97 ск
010	1945-05-01	ДА	ЛФ	23 армия	177 сд
010	1945-05-01	ДА	ЛФ	23 армия	178 сд
010	1945-05-01	ДА	ЛФ	23 армия	224 сд
010	1945-05-01	ДА	ЛФ	23 армия	16 УР
010	1945-05-01	ДА	ЛФ	23 армия	17 УР
010	1945-05-01	ДА	ЛФ	23 армия	47 гв. пабр
010	1945-05-01	ДА	ЛФ	23 армия	21 пап
010	1945-05-01	ДА	ЛФ	23 армия	174 минп
010	1945-05-01	ДА	ЛФ	23 армия	71 озадн
010	1945-05-01	ДА	ЛФ	23 армия	168 озадн
010	1945-05-01	ДА	ЛФ	23 армия	177 озадн
010	1945-05-01	ДА	ЛФ	23 армия	618 озадн
010	1945-05-01	ДА	ЛФ	23 армия	14 одн брп
010	1945-05-01	ДА	ЛФ	23 армия	71 одн брп
010	1945-05-01	ДА	ЛФ	23 армия	172 оиб
011	1945-05-01	ДА	ЛФ	67 армия
011	1945-05-01	ДА	ЛФ	67 армия	23 гв. ск
011	1945-05-01	ДА	ЛФ	67 армия	51 гв.
011	1945-05-01	ДА	ЛФ	67 армия	67 гв.
011	1945-05-01	ДА	ЛФ	67 армия	111 ск 
011	1945-05-01	ДА	ЛФ	67 армия	189 сд
011	1945-05-01	ДА	ЛФ	67 армия	196 сд
011	1945-05-01	ДА	ЛФ	67 армия	382 сд
011	1945-05-01	ДА	ЛФ	67 армия	112 ск 
011	1945-05-01	ДА	ЛФ	67 армия	44 сд
011	1945-05-01	ДА	ЛФ	67 армия	123 сд
011	1945-05-01	ДА	ЛФ	67 армия	377 сд
011	1945-05-01	ДА	ЛФ	67 армия	155 УР
011	1945-05-01	ДА	ЛФ	67 армия	7 пабр
011	1945-05-01	ДА	ЛФ	67 армия	70 орадн
011	1945-05-01	ДА	ЛФ	67 армия	723 орадн
011	1945-05-01	ДА	ЛФ	67 армия	690 иптап
011	1945-05-01	ДА	ЛФ	67 армия	39 гв. мп
011	1945-05-01	ДА	ЛФ	67 армия	85 гв. мп
011	1945-05-01	ДА	ЛФ	67 армия	508 зенап
011	1945-05-01	ДА	ЛФ	67 армия	708 зенап
011	1945-05-01	ДА	ЛФ	67 армия	710 зенап
011	1945-05-01	ДА	ЛФ	67 армия	1274 зенап
011	1945-05-01	ДА	ЛФ	67 армия	72 озадн
011	1945-05-01	ДА	ЛФ	67 армия	386 озадн
011	1945-05-01	ДА	ЛФ	67 армия	78 тбр
011	1945-05-01	ДА	ЛФ	67 армия	336 гв. тсап
011	1945-05-01	ДА	ЛФ	67 армия	377 гв. тсап
011	1945-05-01	ДА	ЛФ	67 армия	56 одн брп
011	1945-05-01	ДА	ЛФ	67 армия	57 одн брп
011	1945-05-01	ДА	ЛФ	67 армия	62 одн брп
011	1945-05-01	ДА	ЛФ	67 армия	21 мшисбр
011	1945-05-01	ДА	ЛФ	67 армия	45 ооб
012	1945-05-01	ДА	ЛФ	13 воздушная армия
012	1945-05-01	ДА	ЛФ	13 воздушная армия	1583 зенап
012	1945-05-01	ДА	ЛФ	13 воздушная армия	1674 зенап
012	1945-05-01	ДА	ЛФ	13 воздушная армия	281 шад
012	1945-05-01	ДА	ЛФ	13 воздушная армия	13 рап
013	1945-05-01	ДА	ЛФ	22 УР
013	1945-05-01	ДА	ЛФ	785 зенап
013	1945-05-01	ДА	ЛФ	73 озадн
013	1945-05-01	ДА	ЛФ	92 озадн
013	1945-05-01	ДА	ЛФ	2 мибр
013	1945-05-01	ДА	ЛФ	34 оибми
014	1945-05-01	ДА	3 БФ
014	1945-05-01	ДА	3 БФ	2 гвардейская армия
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	11 гв. ск
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	2 гв. сд
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	3 гв. сд
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	32 гв. сд
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	13 гв. ск 
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	24 гв. сд
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	33 гв. сд
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	87 гв. сд
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	60 ск 
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	154 сд
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	251 сд
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	334 сд
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	150 пабр
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	483 минп
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	1402 сап
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	1490 сап
014	1945-05-01	ДА	3 БФ	2 гвардейская армия	30 исбр
015	1945-05-01	ДА	3 БФ	11 гвардейская армия
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	8 гв. ск
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	5 гв. сд
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	26 гв. сд
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	83 гв. сд
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	16 гв. ск 
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	1 гв. сд
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	11 гв. сд
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	31 гв. сд
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	36 гв. ск 
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	16 гв. сд
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	18 гв. сд
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	84 гв. сд
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	149 пабр
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	523 кап
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	8 гв. ск 
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	1093 кап
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	1165 кап
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	551 иптап
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	34 зенад 
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	1379 зенап
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	1383 зенап
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	1389 зенап
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	1395 зенап
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	1280 зенап
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	213 тбр
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	148 инж. отп
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	60 одн брп
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	2 гв. мшисбр
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	11 ооб
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	519 ооб
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	185 орро
015	1945-05-01	ДА	3 БФ	11 гвардейская армия	32 ооб
016	1945-05-01	ДА	3 БФ	48 армия
016	1945-05-01	ДА	3 БФ	48 армия	29 ск
016	1945-05-01	ДА	3 БФ	48 армия	73 сд
016	1945-05-01	ДА	3 БФ	48 армия	102 сд
016	1945-05-01	ДА	3 БФ	48 армия	217 сд
016	1945-05-01	ДА	3 БФ	48 армия	42 ск 
