001	1944-12-01	ДА
001	1944-12-01	ДА	ЛФ
001	1944-12-01	ДА	ЛФ	8 армия
004	1944-12-01	ДА	ЛФ	67 армия	1486 пап
004	1944-12-01	ДА	ЛФ	67 армия	690 иптап
004	1944-12-01	ДА	ЛФ	67 армия	18 гв. мп
004	1944-12-01	ДА	ЛФ	67 армия	40 гв. мп
004	1944-12-01	ДА	ЛФ	67 армия	1377 зенап
004	1944-12-01	ДА	ЛФ	67 армия	1387 зенап
004	1944-12-01	ДА	ЛФ	67 армия	1393 зенап
004	1944-12-01	ДА	ЛФ	67 армия	1413 зенап
004	1944-12-01	ДА	ЛФ	67 армия	41 зенад 
004	1944-12-01	ДА	ЛФ	67 армия	244 зенап
004	1944-12-01	ДА	ЛФ	67 армия	245 зенап
004	1944-12-01	ДА	ЛФ	67 армия	463 зенап
004	1944-12-01	ДА	ЛФ	67 армия	634 зенап
004	1944-12-01	ДА	ЛФ	67 армия	45 зенад 
004	1944-12-01	ДА	ЛФ	67 армия	707 зенап
004	1944-12-01	ДА	ЛФ	67 армия	737 зенап
004	1944-12-01	ДА	ЛФ	67 армия	1465 зенап
004	1944-12-01	ДА	ЛФ	67 армия	1466 зенап
004	1944-12-01	ДА	ЛФ	67 армия	72 озадн
004	1944-12-01	ДА	ЛФ	67 армия	221 отп
004	1944-12-01	ДА	ЛФ	67 армия	23 исбр
005	1944-12-01	ДА	ЛФ	13 воздушная армия
005	1944-12-01	ДА	ЛФ	13 воздушная армия	1583 зенап
005	1944-12-01	ДА	ЛФ	13 воздушная армия	1674 зенап
005	1944-12-01	ДА	ЛФ	13 воздушная армия	281 шад
005	1944-12-01	ДА	ЛФ	13 воздушная армия	13 рап
005	1944-12-01	ДА	ЛФ	13 воздушная армия	212 санап
005	1944-12-01	ДА	ЛФ	13 воздушная армия	87 нбаэ
006	1944-12-01	ДА	ЛФ	43 зенад
006	1944-12-01	ДА	ЛФ	464 зенап
006	1944-12-01	ДА	ЛФ	635 зенап
006	1944-12-01	ДА	ЛФ	1463 зенап
006	1944-12-01	ДА	ЛФ	1464 зенап
006	1944-12-01	ДА	ЛФ	11 гв.
006	1944-12-01	ДА	ЛФ	92 озадн
006	1944-12-01	ДА	ЛФ	116 озадн
006	1944-12-01	ДА	ЛФ	177 озадн
006	1944-12-01	ДА	ЛФ	1 тбр
006	1944-12-01	ДА	ЛФ	260 гв.
006	1944-12-01	ДА	ЛФ	98 отп
006	1944-12-01	ДА	ЛФ	938 сап
006	1944-12-01	ДА	ЛФ	1198 сап
006	1944-12-01	ДА	ЛФ	1238 сап
006	1944-12-01	ДА	ЛФ	3 оабрб
006	1944-12-01	ДА	ЛФ	2 мибр
006	1944-12-01	ДА	ЛФ	5 тпмп
006	1944-12-01	ДА	ЛФ	67 оиб
006	1944-12-01	ДА	ЛФ	36 пмб
006	1944-12-01	ДА	ЛФ	42 пмб
006	1944-12-01	ДА	ЛФ	92 пмб
007	1944-12-01	ДА	2 ПрибФ
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	112 ск
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	44 сд
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	98 сд
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	119 ск 
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	53 гв.
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	376 сд
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	245 сд
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	377 сд
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	5 кабр
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	129 кпап
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	30 минбр
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	12 гв. мбр
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	73 зенад 
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	205 зенап
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	402 зенап
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	430 зенап
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	442 зенап
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	1047 сап
007	1944-12-01	ДА	2 ПрибФ	1 ударная армия	49 исбр
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	12 гв. ск
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	52 гв.
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	14 гв. ск 
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	146 сд
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	198 сд
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	379 сд
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	7 ск 
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	23 гв.
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	265 сд
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	79 ск 
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	150 сд
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	171 сд
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	207 сд
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	69 лабр
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	87 тгабр
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	119 габр БМ
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	136 пабр
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	18 иптабр
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	203 гв. минп на конной тяге
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	85 гв. мп
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	93 гв. мп
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	1385 зенап
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	1391 зенап
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	1397 зенап
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	1399 зенап
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	467 озадн
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	31 гв. отп
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	56 одн брп
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	57 одн брп
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	62 одн брп
008	1944-12-01	ДА	2 ПрибФ	3 ударная армия	25 исбр
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	7 гв. ск
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	7 гв. сд
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	8 гв. сд
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	119 гв. сд
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	15 гв. ск 
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	29 гв. сд
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	30 гв. сд
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	85 гв. сд
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	19 гв. ск 
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	22 гв. сд
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	56 гв. сд
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	65 гв. сд
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	27 ад 
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	78 лабр
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	74 габр
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	19 гв. пабр
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	395 гап
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	827 гап
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	758 иптап
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	274 минп
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	27 гв. мп
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	60 гв. мп
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	715 зенап
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	718 зенап
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	721 зенап
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	2013 зенап
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	386 озадн
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	78 тбр
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	1199 сап
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	1900 сап
009	1944-12-01	ДА	2 ПрибФ	10 гвардейская армия	13 исбр
010	1944-12-01	ДА	2 ПрибФ	22 армия
010	1944-12-01	ДА	2 ПрибФ	22 армия	93 ск
010	1944-12-01	ДА	2 ПрибФ	22 армия	200 сд
010	1944-12-01	ДА	2 ПрибФ	22 армия	219 сд
010	1944-12-01	ДА	2 ПрибФ	22 армия	391 сд
010	1944-12-01	ДА	2 ПрибФ	22 армия	100 ск 
010	1944-12-01	ДА	2 ПрибФ	22 армия	21 гв.
010	1944-12-01	ДА	2 ПрибФ	22 армия	37 сд
010	1944-12-01	ДА	2 ПрибФ	22 армия	130 ск 
010	1944-12-01	ДА	2 ПрибФ	22 армия	43 гв.
010	1944-12-01	ДА	2 ПрибФ	22 армия	118 УР
010	1944-12-01	ДА	2 ПрибФ	22 армия	28 адп 
010	1944-12-01	ДА	2 ПрибФ	22 армия	188 лабр
010	1944-12-01	ДА	2 ПрибФ	22 армия	196 тгабр
010	1944-12-01	ДА	2 ПрибФ	22 армия	36 минбр
010	1944-12-01	ДА	2 ПрибФ	22 армия	39 гв. мбр
010	1944-12-01	ДА	2 ПрибФ	22 армия	36 гв. пабр
010	1944-12-01	ДА	2 ПрибФ	22 армия	561 минп
010	1944-12-01	ДА	2 ПрибФ	22 армия	508 зенап
010	1944-12-01	ДА	2 ПрибФ	22 армия	708 зенап
010	1944-12-01	ДА	2 ПрибФ	22 армия	710 зенап
010	1944-12-01	ДА	2 ПрибФ	22 армия	1274 зенап
010	1944-12-01	ДА	2 ПрибФ	22 армия	397 озадн
010	1944-12-01	ДА	2 ПрибФ	22 армия	312 гв.
010	1944-12-01	ДА	2 ПрибФ	22 армия	26 исбр
010	1944-12-01	ДА	2 ПрибФ	22 армия	206 орро
011	1944-12-01	ДА	2 ПрибФ	42 армия
011	1944-12-01	ДА	2 ПрибФ	42 армия	110 ск
011	1944-12-01	ДА	2 ПрибФ	42 армия	168 сд
011	1944-12-01	ДА	2 ПрибФ	42 армия	256 сд
011	1944-12-01	ДА	2 ПрибФ	42 армия	268 сд
011	1944-12-01	ДА	2 ПрибФ	42 армия	123 ск 
011	1944-12-01	ДА	2 ПрибФ	42 армия	43 сд
011	1944-12-01	ДА	2 ПрибФ	42 армия	288 сд
011	1944-12-01	ДА	2 ПрибФ	42 армия	124 ск 
011	1944-12-01	ДА	2 ПрибФ	42 армия	11 сд
011	1944-12-01	ДА	2 ПрибФ	42 армия	48 сд
011	1944-12-01	ДА	2 ПрибФ	42 армия	123 сд
011	1944-12-01	ДА	2 ПрибФ	42 армия	2 сд
011	1944-12-01	ДА	2 ПрибФ	42 армия	141 пабр
011	1944-12-01	ДА	2 ПрибФ	42 армия	122 минп
011	1944-12-01	ДА	2 ПрибФ	42 армия	310 гв. мп
011	1944-12-01	ДА	2 ПрибФ	42 армия	320 гв. мп
011	1944-12-01	ДА	2 ПрибФ	42 армия	620 зенап
011	1944-12-01	ДА	2 ПрибФ	42 армия	709 зенап
011	1944-12-01	ДА	2 ПрибФ	42 армия	714 зенап
011	1944-12-01	ДА	2 ПрибФ	42 армия	729 зенап
011	1944-12-01	ДА	2 ПрибФ	42 армия	64 гв. озадн
011	1944-12-01	ДА	2 ПрибФ	42 армия	1811 сап
011	1944-12-01	ДА	2 ПрибФ	42 армия	24 исбр
012	1944-12-01	ДА	2 ПрибФ	15 воздушная армия
012	1944-12-01	ДА	2 ПрибФ	15 воздушная армия	14 иак
012	1944-12-01	ДА	2 ПрибФ	15 воздушная армия	185 иад
012	1944-12-01	ДА	2 ПрибФ	15 воздушная армия	315 иад
012	1944-12-01	ДА	2 ПрибФ	15 воздушная армия	214 шад
012	1944-12-01	ДА	2 ПрибФ	15 воздушная армия	225 шад
012	1944-12-01	ДА	2 ПрибФ	15 воздушная армия	305 шад
012	1944-12-01	ДА	2 ПрибФ	15 воздушная армия	313 нбад
012	1944-12-01	ДА	2 ПрибФ	15 воздушная армия	187 крап
012	1944-12-01	ДА	2 ПрибФ	15 воздушная армия	97 ап ГВФ
013	1944-12-01	ДА	2 ПрибФ	6 гв. адп
013	1944-12-01	ДА	2 ПрибФ	29 гв. пабр
013	1944-12-01	ДА	2 ПрибФ	6 гв. иптабр 
013	1944-12-01	ДА	2 ПрибФ	314 гв. иптап
013	1944-12-01	ДА	2 ПрибФ	19 гв. мп
013	1944-12-01	ДА	2 ПрибФ	72 гв. мп
013	1944-12-01	ДА	2 ПрибФ	90 гв. мп
013	1944-12-01	ДА	2 ПрибФ	1477 зенап
013	1944-12-01	ДА	2 ПрибФ	12 озадн
013	1944-12-01	ДА	2 ПрибФ	29 озадн
013	1944-12-01	ДА	2 ПрибФ	239 озадн
013	1944-12-01	ДА	2 ПрибФ	242 озадн
013	1944-12-01	ДА	2 ПрибФ	134 озенбрп
013	1944-12-01	ДА	2 ПрибФ	10 тк 
013	1944-12-01	ДА	2 ПрибФ	178 тбр
013	1944-12-01	ДА	2 ПрибФ	183 тбр
013	1944-12-01	ДА	2 ПрибФ	186 тбр
013	1944-12-01	ДА	2 ПрибФ	326 гв. тсап
013	1944-12-01	ДА	2 ПрибФ	1450 сап
013	1944-12-01	ДА	2 ПрибФ	705 лап
013	1944-12-01	ДА	2 ПрибФ	128 гв. мдн
013	1944-12-01	ДА	2 ПрибФ	19 тк 
013	1944-12-01	ДА	2 ПрибФ	79 тбр
013	1944-12-01	ДА	2 ПрибФ	101 тбр
013	1944-12-01	ДА	2 ПрибФ	202 тбр
013	1944-12-01	ДА	2 ПрибФ	8 гв. тп
013	1944-12-01	ДА	2 ПрибФ	1452 сап
013	1944-12-01	ДА	2 ПрибФ	882 лап
013	1944-12-01	ДА	2 ПрибФ	348 гв. мдн
013	1944-12-01	ДА	2 ПрибФ	1003 санап
013	1944-12-01	ДА	2 ПрибФ	8 мибр
013	1944-12-01	ДА	2 ПрибФ	36 оиб
013	1944-12-01	ДА	2 ПрибФ	75 оиб
013	1944-12-01	ДА	2 ПрибФ	56 пмб
013	1944-12-01	ДА	2 ПрибФ	88 пмб
013	1944-12-01	ДА	2 ПрибФ	94 пмб
013	1944-12-01	ДА	2 ПрибФ	159 пмб
014	1944-12-01	ДА	1 ПрибФ
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	14 ск
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	239 сд
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	378 сд
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	83 ск 
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	119 сд
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	332 сд
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	360 сд
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	84 ск 
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	158 сд
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	164 сд
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	251 сд
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	138 пабр
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	587 иптап
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	408 минп
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	556 минп
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	617 зенап
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	618 зенап
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	717 зенап
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	333 гв. тсап
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	1022 сап
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	2 исбр
014	1944-12-01	ДА	1 ПрибФ	4 ударная армия	12 ооб
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	11 гв. ск
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	2 гв. сд
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	32 гв. сд
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	33 гв. сд
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	13 гв. ск 
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	3 гв.
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	24 гв.
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	87 гв.
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	1 ск 
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	145 сд
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	306 сд
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	357 сд
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	21 адп 
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	64 пабр
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	94 тгабр
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	25 минбр
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	150 пабр
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	113 гв. иптап
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	2 гв. мп
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	1069 зенап
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	1086 зенап
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	1113 зенап
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	1117 зенап
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	39 гв. тбр
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	1051 сап
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	1402 сап
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	1490 сап
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	406 нбап
015	1944-12-01	ДА	1 ПрибФ	2 гвардейская армия	21 шисбр
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	2 гв. ск
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	9 гв.
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	71 гв.
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	22 гв. ск 
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	46 гв.
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	90 гв.
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	23 гв. ск 
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	51 гв.
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	67 гв.
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	103 ск 
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	154 сд
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	270 сд
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	20 адп 
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	34 лабр
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	93 тгабр
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	20 минбр
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	8 пад 
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	26 гв. пабр
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	27 гв. пабр
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	4 пабр
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	17 иптабр
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	295 минп
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	39 гв. мп
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	39 зенад 
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	1410 зенап
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	1526 зенап
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	1487 зенап
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	1714 зенап
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	143 тбр
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	10 шисбр 
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	47 тп
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	1049 сап
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	5 шисбр
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	174 орро
016	1944-12-01	ДА	1 ПрибФ	6 гвардейская армия	178 орро
017	1944-12-01	ДА	1 ПрибФ	43 армия
017	1944-12-01	ДА	1 ПрибФ	43 армия	19 ск
017	1944-12-01	ДА	1 ПрибФ	43 армия	32 сд
017	1944-12-01	ДА	1 ПрибФ	43 армия	70 сд
017	1944-12-01	ДА	1 ПрибФ	43 армия	344 сд
017	1944-12-01	ДА	1 ПрибФ	43 армия	44 ск 
017	1944-12-01	ДА	1 ПрибФ	43 армия	115 сд
017	1944-12-01	ДА	1 ПрибФ	43 армия	319 сд
017	1944-12-01	ДА	1 ПрибФ	43 армия	325 сд
017	1944-12-01	ДА	1 ПрибФ	43 армия	54 ск 
017	1944-12-01	ДА	1 ПрибФ	43 армия	126 сд
017	1944-12-01	ДА	1 ПрибФ	43 армия	263 сд
017	1944-12-01	ДА	1 ПрибФ	43 армия	90 ск 
017	1944-12-01	ДА	1 ПрибФ	43 армия	26 сд
017	1944-12-01	ДА	1 ПрибФ	43 армия	182 сд
017	1944-12-01	ДА	1 ПрибФ	43 армия	92 ск 
