001	1941-07-07	Да
001	1941-07-07	Да	СФ
001	1941-07-07	Да	СФ	7 армия
011	1941-07-07	Да	ЗФ	13 армия	160 сд
011	1941-07-07	Да	ЗФ	13 армия	61 ск 
011	1941-07-07	Да	ЗФ	13 армия	53 сд
011	1941-07-07	Да	ЗФ	13 армия	110 сд
011	1941-07-07	Да	ЗФ	13 армия	172 сд
011	1941-07-07	Да	ЗФ	13 армия	4 вдк 
011	1941-07-07	Да	ЗФ	13 армия	7 вдбр
011	1941-07-07	Да	ЗФ	13 армия	8 вдбр
011	1941-07-07	Да	ЗФ	13 армия	24 сд
011	1941-07-07	Да	ЗФ	13 армия	398 кап
011	1941-07-07	Да	ЗФ	13 армия	438 кап
011	1941-07-07	Да	ЗФ	13 армия	649 кап
011	1941-07-07	Да	ЗФ	13 армия	302 гап РГК
011	1941-07-07	Да	ЗФ	13 армия	20 мк 
011	1941-07-07	Да	ЗФ	13 армия	26 тд
011	1941-07-07	Да	ЗФ	13 армия	38 тд
012	1941-07-07	Да	ЗФ	19 армия
012	1941-07-07	Да	ЗФ	19 армия	25 ск
012	1941-07-07	Да	ЗФ	19 армия	127 сд
012	1941-07-07	Да	ЗФ	19 армия	134 сд
012	1941-07-07	Да	ЗФ	19 армия	162 сд
012	1941-07-07	Да	ЗФ	19 армия	34 ск 
012	1941-07-07	Да	ЗФ	19 армия	38 сд
012	1941-07-07	Да	ЗФ	19 армия	129 сд
012	1941-07-07	Да	ЗФ	19 армия	158 сд
012	1941-07-07	Да	ЗФ	19 армия	442 кап
012	1941-07-07	Да	ЗФ	19 армия	399 гап РГК
012	1941-07-07	Да	ЗФ	19 армия	23 мк 
012	1941-07-07	Да	ЗФ	19 армия	48 тд
012	1941-07-07	Да	ЗФ	19 армия	27 мцп
013	1941-07-07	Да	ЗФ	20 армия
013	1941-07-07	Да	ЗФ	20 армия	69 ск
013	1941-07-07	Да	ЗФ	20 армия	153 сд
013	1941-07-07	Да	ЗФ	20 армия	229 сд
013	1941-07-07	Да	ЗФ	20 армия	233 сд
013	1941-07-07	Да	ЗФ	20 армия	2 ск 
013	1941-07-07	Да	ЗФ	20 армия	100 сд
013	1941-07-07	Да	ЗФ	20 армия	161 сд
013	1941-07-07	Да	ЗФ	20 армия	18 сд
013	1941-07-07	Да	ЗФ	20 армия	73 сд
013	1941-07-07	Да	ЗФ	20 армия	144 сд
013	1941-07-07	Да	ЗФ	20 армия	49 кап
013	1941-07-07	Да	ЗФ	20 армия	151 кап
013	1941-07-07	Да	ЗФ	20 армия	467 кап
013	1941-07-07	Да	ЗФ	20 армия	587 кап
013	1941-07-07	Да	ЗФ	20 армия	7 сводный ап
013	1941-07-07	Да	ЗФ	20 армия	12 озад
013	1941-07-07	Да	ЗФ	20 армия	71 озад
013	1941-07-07	Да	ЗФ	20 армия	76 озад
013	1941-07-07	Да	ЗФ	20 армия	123 озад
013	1941-07-07	Да	ЗФ	20 армия	5 мк 
013	1941-07-07	Да	ЗФ	20 армия	13 тд
013	1941-07-07	Да	ЗФ	20 армия	17 тд
013	1941-07-07	Да	ЗФ	20 армия	12 отд. д
013	1941-07-07	Да	ЗФ	20 армия	47 бад
014	1941-07-07	Да	ЗФ	21 армия
014	1941-07-07	Да	ЗФ	21 армия	63 ск
014	1941-07-07	Да	ЗФ	21 армия	61 сд
014	1941-07-07	Да	ЗФ	21 армия	154 сд
014	1941-07-07	Да	ЗФ	21 армия	167 сд
014	1941-07-07	Да	ЗФ	21 армия	66 ск 
014	1941-07-07	Да	ЗФ	21 армия	232 сд
014	1941-07-07	Да	ЗФ	21 армия	67 ск 
014	1941-07-07	Да	ЗФ	21 армия	102 сд
014	1941-07-07	Да	ЗФ	21 армия	117 сд
014	1941-07-07	Да	ЗФ	21 армия	151 сд
014	1941-07-07	Да	ЗФ	21 армия	75 сд
014	1941-07-07	Да	ЗФ	21 армия	191 кап
014	1941-07-07	Да	ЗФ	21 армия	546 кап
014	1941-07-07	Да	ЗФ	21 армия	387 гап РГК
014	1941-07-07	Да	ЗФ	21 армия	3 /420 кап
014	1941-07-07	Да	ЗФ	21 армия	6 оминб
014	1941-07-07	Да	ЗФ	21 армия	15 оминб
014	1941-07-07	Да	ЗФ	21 армия	158 озад
014	1941-07-07	Да	ЗФ	21 армия	311 озад
014	1941-07-07	Да	ЗФ	21 армия	25 мк 
014	1941-07-07	Да	ЗФ	21 армия	50 тд
014	1941-07-07	Да	ЗФ	21 армия	55 тд
014	1941-07-07	Да	ЗФ	21 армия	12 мцп
014	1941-07-07	Да	ЗФ	21 армия	13 бад
015	1941-07-07	Да	ЗФ	22 армия
015	1941-07-07	Да	ЗФ	22 армия	51 ск
015	1941-07-07	Да	ЗФ	22 армия	98 сд
015	1941-07-07	Да	ЗФ	22 армия	112 сд
015	1941-07-07	Да	ЗФ	22 армия	170 сд
015	1941-07-07	Да	ЗФ	22 армия	62 ск 
015	1941-07-07	Да	ЗФ	22 армия	174 сд
015	1941-07-07	Да	ЗФ	22 армия	179 сд
015	1941-07-07	Да	ЗФ	22 армия	186 сд
015	1941-07-07	Да	ЗФ	22 армия	50 сд
015	1941-07-07	Да	ЗФ	22 армия	214 сд
015	1941-07-07	Да	ЗФ	22 армия	56 кап
015	1941-07-07	Да	ЗФ	22 армия	17 сд
015	1941-07-07	Да	ЗФ	22 армия	397 озад
015	1941-07-07	Да	ЗФ	22 армия	48 тд
015	1941-07-07	Да	ЗФ	22 армия	12 бад
015	1941-07-07	Да	ЗФ	22 армия	46 бад
016	1941-07-07	Да	ЗФ	44 ск
016	1941-07-07	Да	ЗФ	17 сд
016	1941-07-07	Да	ЗФ	64 сд
016	1941-07-07	Да	ЗФ	108 сд
016	1941-07-07	Да	ЗФ	49 сд
016	1941-07-07	Да	ЗФ	62 УР
016	1941-07-07	Да	ЗФ	63 УР
016	1941-07-07	Да	ЗФ	65 УР
016	1941-07-07	Да	ЗФ	66 УР
016	1941-07-07	Да	ЗФ	68 УР
016	1941-07-07	Да	ЗФ	29 кап
016	1941-07-07	Да	ЗФ	336 кап
016	1941-07-07	Да	ЗФ	444 кап
016	1941-07-07	Да	ЗФ	471 кап
016	1941-07-07	Да	ЗФ	545 кап
016	1941-07-07	Да	ЗФ	596 кап
016	1941-07-07	Да	ЗФ	645 кап
016	1941-07-07	Да	ЗФ	311 пап
016	1941-07-07	Да	ЗФ	120 гап б/м
016	1941-07-07	Да	ЗФ	403 гап б/м
016	1941-07-07	Да	ЗФ	537 гап РГК
016	1941-07-07	Да	ЗФ	32 оад о/м РГК
016	1941-07-07	Да	ЗФ	40 оад о/м РГК
016	1941-07-07	Да	ЗФ	86 озад
016	1941-07-07	Да	ЗФ	7 бригада ПВО
016	1941-07-07	Да	ЗФ	7 мк 
016	1941-07-07	Да	ЗФ	14 тд
016	1941-07-07	Да	ЗФ	18 тд
016	1941-07-07	Да	ЗФ	17 мк 
016	1941-07-07	Да	ЗФ	27 тд
016	1941-07-07	Да	ЗФ	36 тд
016	1941-07-07	Да	ЗФ	43 иад
016	1941-07-07	Да	ЗФ	3 бап
016	1941-07-07	Да	ЗФ	410 бап
016	1941-07-07	Да	ЗФ	314 рап
017	1941-07-07	Да	ЮЗФ
017	1941-07-07	Да	ЮЗФ	5 армия
017	1941-07-07	Да	ЮЗФ	5 армия	15 ск
017	1941-07-07	Да	ЮЗФ	5 армия	45 сд
017	1941-07-07	Да	ЮЗФ	5 армия	62 сд
017	1941-07-07	Да	ЮЗФ	5 армия	87 сд
017	1941-07-07	Да	ЮЗФ	5 армия	31 ск 
017	1941-07-07	Да	ЮЗФ	5 армия	193 сд
017	1941-07-07	Да	ЮЗФ	5 армия	195 сд
017	1941-07-07	Да	ЮЗФ	5 армия	200 сд
017	1941-07-07	Да	ЮЗФ	5 армия	124 сд
017	1941-07-07	Да	ЮЗФ	5 армия	135 сд
017	1941-07-07	Да	ЮЗФ	5 армия	1 арт. бригады ПТО
017	1941-07-07	Да	ЮЗФ	5 армия	5 арт. бригады ПТО
017	1941-07-07	Да	ЮЗФ	5 армия	231 кап
017	1941-07-07	Да	ЮЗФ	5 армия	264 кап
017	1941-07-07	Да	ЮЗФ	5 армия	543 кап
017	1941-07-07	Да	ЮЗФ	5 армия	589 гап РГК
017	1941-07-07	Да	ЮЗФ	5 армия	9 мк 
017	1941-07-07	Да	ЮЗФ	5 армия	20 тд
017	1941-07-07	Да	ЮЗФ	5 армия	35 тд
017	1941-07-07	Да	ЮЗФ	5 армия	19 мк 
017	1941-07-07	Да	ЮЗФ	5 армия	40 тд
017	1941-07-07	Да	ЮЗФ	5 армия	43 тд
017	1941-07-07	Да	ЮЗФ	5 армия	22 мк 
017	1941-07-07	Да	ЮЗФ	5 армия	19 тд
017	1941-07-07	Да	ЮЗФ	5 армия	41 тд
018	1941-07-07	Да	ЮЗФ	6 армия
018	1941-07-07	Да	ЮЗФ	6 армия	7 ск
018	1941-07-07	Да	ЮЗФ	6 армия	196 сд
018	1941-07-07	Да	ЮЗФ	6 армия	206 сд
018	1941-07-07	Да	ЮЗФ	6 армия	36 ск 
018	1941-07-07	Да	ЮЗФ	6 армия	140 сд
018	1941-07-07	Да	ЮЗФ	6 армия	146 сд
018	1941-07-07	Да	ЮЗФ	6 армия	228 сд
018	1941-07-07	Да	ЮЗФ	6 армия	37 ск 
018	1941-07-07	Да	ЮЗФ	6 армия	80 сд
018	1941-07-07	Да	ЮЗФ	6 армия	139 сд
018	1941-07-07	Да	ЮЗФ	6 армия	141 сд
018	1941-07-07	Да	ЮЗФ	6 армия	49 ск 
018	1941-07-07	Да	ЮЗФ	6 армия	190 сд
018	1941-07-07	Да	ЮЗФ	6 армия	197 сд
018	1941-07-07	Да	ЮЗФ	6 армия	199 сд
018	1941-07-07	Да	ЮЗФ	6 армия	5 кк 
018	1941-07-07	Да	ЮЗФ	6 армия	3 кд
018	1941-07-07	Да	ЮЗФ	6 армия	14 кд
018	1941-07-07	Да	ЮЗФ	6 армия	147 сд
018	1941-07-07	Да	ЮЗФ	6 армия	2 арт. бригада ПТО
018	1941-07-07	Да	ЮЗФ	6 армия	205 кап
018	1941-07-07	Да	ЮЗФ	6 армия	441 кап
018	1941-07-07	Да	ЮЗФ	6 армия	445 кап
018	1941-07-07	Да	ЮЗФ	6 армия	507 кап
018	1941-07-07	Да	ЮЗФ	6 армия	458 кап
018	1941-07-07	Да	ЮЗФ	6 армия	263 озад
018	1941-07-07	Да	ЮЗФ	6 армия	296 озад
018	1941-07-07	Да	ЮЗФ	6 армия	307 озад
018	1941-07-07	Да	ЮЗФ	6 армия	4 мк 
018	1941-07-07	Да	ЮЗФ	6 армия	8 тд
018	1941-07-07	Да	ЮЗФ	6 армия	32 тд
018	1941-07-07	Да	ЮЗФ	6 армия	15 мк 
018	1941-07-07	Да	ЮЗФ	6 армия	10 тд
018	1941-07-07	Да	ЮЗФ	6 армия	37 тд
018	1941-07-07	Да	ЮЗФ	6 армия	16 мк 
018	1941-07-07	Да	ЮЗФ	6 армия	15 тд
018	1941-07-07	Да	ЮЗФ	6 армия	44 тд
019	1941-07-07	Да	ЮЗФ	12 армия
019	1941-07-07	Да	ЮЗФ	12 армия	13 ск
019	1941-07-07	Да	ЮЗФ	12 армия	44 гсд
019	1941-07-07	Да	ЮЗФ	12 армия	58 гсд
019	1941-07-07	Да	ЮЗФ	12 армия	192 гсд
019	1941-07-07	Да	ЮЗФ	12 армия	3 арт. бригада ПТО
019	1941-07-07	Да	ЮЗФ	12 армия	468 кап
019	1941-07-07	Да	ЮЗФ	12 армия	1 отд. д
020	1941-07-07	Да	ЮЗФ	26 армия
020	1941-07-07	Да	ЮЗФ	26 армия	8 ск
020	1941-07-07	Да	ЮЗФ	26 армия	99 сд
020	1941-07-07	Да	ЮЗФ	26 армия	173 сд
020	1941-07-07	Да	ЮЗФ	26 армия	72 гсд
020	1941-07-07	Да	ЮЗФ	26 армия	233 кап
020	1941-07-07	Да	ЮЗФ	26 армия	236 кап
020	1941-07-07	Да	ЮЗФ	26 армия	24 мк 
020	1941-07-07	Да	ЮЗФ	26 армия	45 тд
020	1941-07-07	Да	ЮЗФ	26 армия	49 тд
020	1941-07-07	Да	ЮЗФ	26 армия	17 мцп
021	1941-07-07	Да	ЮЗФ	6 ск
021	1941-07-07	Да	ЮЗФ	41 сд
021	1941-07-07	Да	ЮЗФ	97 сд
021	1941-07-07	Да	ЮЗФ	159 сд
021	1941-07-07	Да	ЮЗФ	27 ск 
021	1941-07-07	Да	ЮЗФ	28 гсд
021	1941-07-07	Да	ЮЗФ	64 ск 
021	1941-07-07	Да	ЮЗФ	165 сд
021	1941-07-07	Да	ЮЗФ	175 сд
021	1941-07-07	Да	ЮЗФ	1 вдк 
021	1941-07-07	Да	ЮЗФ	4 вдбр
021	1941-07-07	Да	ЮЗФ	212 вдбр
021	1941-07-07	Да	ЮЗФ	2 вдк 
021	1941-07-07	Да	ЮЗФ	2 вдбр
021	1941-07-07	Да	ЮЗФ	3 вдбр
021	1941-07-07	Да	ЮЗФ	3 вдк 
021	1941-07-07	Да	ЮЗФ	5 вдбр
021	1941-07-07	Да	ЮЗФ	6 вдбр
021	1941-07-07	Да	ЮЗФ	1 УР
021	1941-07-07	Да	ЮЗФ	3 УР
021	1941-07-07	Да	ЮЗФ	5 УР
021	1941-07-07	Да	ЮЗФ	6 УР
021	1941-07-07	Да	ЮЗФ	7 УР
021	1941-07-07	Да	ЮЗФ	13 УР
021	1941-07-07	Да	ЮЗФ	15 УР
021	1941-07-07	Да	ЮЗФ	17 УР
021	1941-07-07	Да	ЮЗФ	116 сд 
021	1941-07-07	Да	ЮЗФ	227 сд 
021	1941-07-07	Да	ЮЗФ	4 гап б/м
021	1941-07-07	Да	ЮЗФ	168 гап б/м
021	1941-07-07	Да	ЮЗФ	324 гап б/м
021	1941-07-07	Да	ЮЗФ	330 гап б/м
021	1941-07-07	Да	ЮЗФ	526 гап б/м
021	1941-07-07	Да	ЮЗФ	538 гап РГК
021	1941-07-07	Да	ЮЗФ	555 гап РГК
021	1941-07-07	Да	ЮЗФ	209 кап
021	1941-07-07	Да	ЮЗФ	229 кап
021	1941-07-07	Да	ЮЗФ	368 кап
021	1941-07-07	Да	ЮЗФ	460 кап
021	1941-07-07	Да	ЮЗФ	315 оад о/м РГК
021	1941-07-07	Да	ЮЗФ	316 оад о/м РГК
021	1941-07-07	Да	ЮЗФ	386 озад
021	1941-07-07	Да	ЮЗФ	3 дивизии
021	1941-07-07	Да	ЮЗФ	4 дивизии
021	1941-07-07	Да	ЮЗФ	8 мк 
021	1941-07-07	Да	ЮЗФ	12 тд
021	1941-07-07	Да	ЮЗФ	34 тд
021	1941-07-07	Да	ЮЗФ	36 иап ПВО
021	1941-07-07	Да	ЮЗФ	62 бад
021	1941-07-07	Да	ЮЗФ	15 сад
021	1941-07-07	Да	ЮЗФ	16 сад
021	1941-07-07	Да	ЮЗФ	17 сад
021	1941-07-07	Да	ЮЗФ	316 рап
022	1941-07-07	Да	ЮФ
022	1941-07-07	Да	ЮФ	9 армия
022	1941-07-07	Да	ЮФ	9 армия	35 ск
022	1941-07-07	Да	ЮФ	9 армия	95 сд
022	1941-07-07	Да	ЮФ	9 армия	48 ск 
022	1941-07-07	Да	ЮФ	9 армия	74 сд
022	1941-07-07	Да	ЮФ	9 армия	176 сд
022	1941-07-07	Да	ЮФ	9 армия	2 кк 
022	1941-07-07	Да	ЮФ	9 армия	5 кд
022	1941-07-07	Да	ЮФ	9 армия	9 кд
022	1941-07-07	Да	ЮФ	9 армия	80 УР
022	1941-07-07	Да	ЮФ	9 армия	82 УР
022	1941-07-07	Да	ЮФ	9 армия	266 кап
022	1941-07-07	Да	ЮФ	9 армия	648 кап
022	1941-07-07	Да	ЮФ	9 армия	430 гап б/м РГК
022	1941-07-07	Да	ЮФ	9 армия	522 гап б/м РГК
022	1941-07-07	Да	ЮФ	9 армия	527 гап б/м РГК
022	1941-07-07	Да	ЮФ	9 армия	268 озад
022	1941-07-07	Да	ЮФ	9 армия	2 мк 
022	1941-07-07	Да	ЮФ	9 армия	11 тд
022	1941-07-07	Да	ЮФ	9 армия	16 тд
022	1941-07-07	Да	ЮФ	9 армия	20 сад
022	1941-07-07	Да	ЮФ	9 армия	21 сад
023	1941-07-07	Да	ЮФ	18 армия
023	1941-07-07	Да	ЮФ	18 армия	17 ск
023	1941-07-07	Да	ЮФ	18 армия	96 гсд
023	1941-07-07	Да	ЮФ	18 армия	189 сд
023	1941-07-07	Да	ЮФ	18 армия	55 ск 
023	1941-07-07	Да	ЮФ	18 армия	130 сд
023	1941-07-07	Да	ЮФ	18 армия	169 сд
023	1941-07-07	Да	ЮФ	18 армия	30 кд
023	1941-07-07	Да	ЮФ	18 армия	12 УР
023	1941-07-07	Да	ЮФ	18 армия	4 арт. бригада ПТО
023	1941-07-07	Да	ЮФ	18 армия	274 кап
023	1941-07-07	Да	ЮФ	18 армия	437 кап
023	1941-07-07	Да	ЮФ	18 армия	30 озад
023	1941-07-07	Да	ЮФ	18 армия	163 озад
023	1941-07-07	Да	ЮФ	18 армия	375 озад
023	1941-07-07	Да	ЮФ	18 армия	39 тд
023	1941-07-07	Да	ЮФ	18 армия	19 мцп
023	1941-07-07	Да	ЮФ	18 армия	64 иад
024	1941-07-07	Да	ЮФ	9 ск
024	1941-07-07	Да	ЮФ	106 сд
024	1941-07-07	Да	ЮФ	156 сд
024	1941-07-07	Да	ЮФ	265 кап
024	1941-07-07	Да	ЮФ	245 оад о/м РГК
024	1941-07-07	Да	ЮФ	391 озад
024	1941-07-07	Да	ЮФ	504 озад
024	1941-07-07	Да	ЮФ	15 бригада ПВО
024	1941-07-07	Да	ЮФ	18 мк 
024	1941-07-07	Да	ЮФ	47 тд
024	1941-07-07	Да	ЮФ	26 мцп
024	1941-07-07	Да	ЮФ	44 иад
024	1941-07-07	Да	ЮФ	146 иап
025	1941-07-07	Да	ЮФ	Приморская группа
025	1941-07-07	Да	ЮФ	Приморская группа	14 ск
025	1941-07-07	Да	ЮФ	Приморская группа	25 сд
025	1941-07-07	Да	ЮФ	Приморская группа	51 сд
025	1941-07-07	Да	ЮФ	Приморская группа	150 сд
025	1941-07-07	Да	ЮФ	Приморская группа	83 УР
025	1941-07-07	Да	ЮФ	Приморская группа	84 УР
025	1941-07-07	Да	ЮФ	Приморская группа	86 УР
026	1941-07-07	Да	ДБА
026	1941-07-07	Да	ДБА	1 бак
026	1941-07-07	Да	ДБА	40 бад
026	1941-07-07	Да	ДБА	51 бад
027	1941-07-07	Да	ДБА	2 бак
027	1941-07-07	Да	ДБА	35 бад
027	1941-07-07	Да	ДБА	48 бад
028	1941-07-07	Да	ДБА	3 бак
028	1941-07-07	Да	ДБА	42 бад
028	1941-07-07	Да	ДБА	52 бад
029	1941-07-07	Да	ДБА	4 бак
029	1941-07-07	Да	ДБА	21 бад
029	1941-07-07	Да	ДБА	50 бад
030	1941-07-07	Да	ДБА	18 бад
031	1941-07-07	РС ГК
031	1941-07-07	РС ГК	Группа армий резерва Ставки
031	1941-07-07	РС ГК	Группа армий резерва Ставки	24 армия
031	1941-07-07	РС ГК	Группа армий резерва Ставки	24 армия	52 ск
031	1941-07-07	РС ГК	Группа армий резерва Ставки	24 армия	91 сд
031	1941-07-07	РС ГК	Группа армий резерва Ставки	24 армия	133 сд
031	1941-07-07	РС ГК	Группа армий резерва Ставки	24 армия	166 сд
031	1941-07-07	РС ГК	Группа армий резерва Ставки	24 армия	53 ск 
031	1941-07-07	РС ГК	Группа армий резерва Ставки	24 армия	19 сд
031	1941-07-07	РС ГК	Группа армий резерва Ставки	24 армия	107 сд
031	1941-07-07	РС ГК	Группа армий резерва Ставки	24 армия	178 сд
031	1941-07-07	РС ГК	Группа армий резерва Ставки	24 армия	248 сд
031	1941-07-07	РС ГК	Группа армий резерва Ставки	24 армия	275 кап
031	1941-07-07	РС ГК	Группа армий резерва Ставки	24 армия	392 кап
031	1941-07-07	РС ГК	Группа армий резерва Ставки	24 армия	542 кап
031	1941-07-07	РС ГК	Группа армий резерва Ставки	24 армия	685 кап
031	1941-07-07	РС ГК	Группа армий резерва Ставки	24 армия	573 пап
