001	1944-09-01	ДА
001	1944-09-01	ДА	КаоФ
001	1944-09-01	ДА	КаоФ	7 армия
003	1944-09-01	ДА	КаоФ	19 армия	193 орро
004	1944-09-01	ДА	КаоФ	26 армия
004	1944-09-01	ДА	КаоФ	26 армия	31 ск
004	1944-09-01	ДА	КаоФ	26 армия	83 сд
004	1944-09-01	ДА	КаоФ	26 армия	205 сд
004	1944-09-01	ДА	КаоФ	26 армия	132 ск 
004	1944-09-01	ДА	КаоФ	26 армия	54 сд
004	1944-09-01	ДА	КаоФ	26 армия	367 сд
004	1944-09-01	ДА	КаоФ	26 армия	471 пап
004	1944-09-01	ДА	КаоФ	26 армия	278 минп
004	1944-09-01	ДА	КаоФ	26 армия	565 минп
004	1944-09-01	ДА	КаоФ	26 армия	272 зенап
004	1944-09-01	ДА	КаоФ	26 армия	91 отп
004	1944-09-01	ДА	КаоФ	26 армия	170 оиб
004	1944-09-01	ДА	КаоФ	26 армия	195 орро
005	1944-09-01	ДА	КаоФ	32 армия
005	1944-09-01	ДА	КаоФ	32 армия	127 лгск
005	1944-09-01	ДА	КаоФ	32 армия	27 сд
005	1944-09-01	ДА	КаоФ	32 армия	131 ск
005	1944-09-01	ДА	КаоФ	32 армия	289 сд
005	1944-09-01	ДА	КаоФ	32 армия	313 сд
005	1944-09-01	ДА	КаоФ	32 армия	368 сд
005	1944-09-01	ДА	КаоФ	32 армия	69 морсбр
005	1944-09-01	ДА	КаоФ	32 армия	70 морсбр
005	1944-09-01	ДА	КаоФ	32 армия	31 обмп
005	1944-09-01	ДА	КаоФ	32 армия	905 горн. кап
005	1944-09-01	ДА	КаоФ	32 армия	354 отпадн
005	1944-09-01	ДА	КаоФ	32 армия	280 минп
005	1944-09-01	ДА	КаоФ	32 армия	298 минп
005	1944-09-01	ДА	КаоФ	32 армия	620 минп
005	1944-09-01	ДА	КаоФ	32 армия	621 минп
005	1944-09-01	ДА	КаоФ	32 армия	63 гв. мп
005	1944-09-01	ДА	КаоФ	32 армия	40 зенад 
005	1944-09-01	ДА	КаоФ	32 армия	1411 зенап
005	1944-09-01	ДА	КаоФ	32 армия	29 тбр
005	1944-09-01	ДА	КаоФ	32 армия	1 мибр
005	1944-09-01	ДА	КаоФ	32 армия	733 оиб
005	1944-09-01	ДА	КаоФ	32 армия	6 ооб
005	1944-09-01	ДА	КаоФ	32 армия	196 орро
006	1944-09-01	ДА	КаоФ	7 воздушная армия
006	1944-09-01	ДА	КаоФ	7 воздушная армия	1006 зенап
006	1944-09-01	ДА	КаоФ	7 воздушная армия	1598 зенап
006	1944-09-01	ДА	КаоФ	7 воздушная армия	1599 зенап
006	1944-09-01	ДА	КаоФ	7 воздушная армия	1 гв.
006	1944-09-01	ДА	КаоФ	7 воздушная армия	260 сад
006	1944-09-01	ДА	КаоФ	7 воздушная армия	261 сад
006	1944-09-01	ДА	КаоФ	7 воздушная армия	858 иап
006	1944-09-01	ДА	КаоФ	7 воздушная армия	121 оапс
006	1944-09-01	ДА	КаоФ	7 воздушная армия	119 раэ
007	1944-09-01	ДА	КаоФ	7 гв. мбр
007	1944-09-01	ДА	КаоФ	3 овпдаан
007	1944-09-01	ДА	КаоФ	298 озадн
007	1944-09-01	ДА	КаоФ	275 омб 
007	1944-09-01	ДА	КаоФ	284 омб 
007	1944-09-01	ДА	КаоФ	378 гв. тсап
007	1944-09-01	ДА	КаоФ	27 одн брп
007	1944-09-01	ДА	КаоФ	47 одн брп
007	1944-09-01	ДА	КаоФ	81 санап
007	1944-09-01	ДА	КаоФ	13 шисбр
007	1944-09-01	ДА	КаоФ	40 оиб
008	1944-09-01	ДА	ЛФ
008	1944-09-01	ДА	ЛФ	2 ударная армия
008	1944-09-01	ДА	ЛФ	2 ударная армия	30 гв. ск
008	1944-09-01	ДА	ЛФ	2 ударная армия	45 гв. сд
008	1944-09-01	ДА	ЛФ	2 ударная армия	63 гв. сд
008	1944-09-01	ДА	ЛФ	2 ударная армия	64 гв. сд
008	1944-09-01	ДА	ЛФ	2 ударная армия	117 ск 
008	1944-09-01	ДА	ЛФ	2 ударная армия	120 сд
008	1944-09-01	ДА	ЛФ	2 ударная армия	125 сд
008	1944-09-01	ДА	ЛФ	2 ударная армия	131 сд
008	1944-09-01	ДА	ЛФ	2 ударная армия	9 УР
008	1944-09-01	ДА	ЛФ	2 ударная армия	16 УР
008	1944-09-01	ДА	ЛФ	2 ударная армия	161 пабр
008	1944-09-01	ДА	ЛФ	2 ударная армия	1157 кап
008	1944-09-01	ДА	ЛФ	2 ударная армия	367 пап
008	1944-09-01	ДА	ЛФ	2 ударная армия	884 иптап
008	1944-09-01	ДА	ЛФ	2 ударная армия	329 оадн ОМ
008	1944-09-01	ДА	ЛФ	2 ударная армия	104 минп
008	1944-09-01	ДА	ЛФ	2 ударная армия	184 минп
008	1944-09-01	ДА	ЛФ	2 ударная армия	192 минп
008	1944-09-01	ДА	ЛФ	2 ударная армия	194 минп
008	1944-09-01	ДА	ЛФ	2 ударная армия	499 минп
008	1944-09-01	ДА	ЛФ	2 ударная армия	7 зенад 
008	1944-09-01	ДА	ЛФ	2 ударная армия	465 зенап
008	1944-09-01	ДА	ЛФ	2 ударная армия	474 зенап
008	1944-09-01	ДА	ЛФ	2 ударная армия	602 зенап
008	1944-09-01	ДА	ЛФ	2 ударная армия	632 зенап
008	1944-09-01	ДА	ЛФ	2 ударная армия	116 озадн
008	1944-09-01	ДА	ЛФ	2 ударная армия	432 озадн
008	1944-09-01	ДА	ЛФ	2 ударная армия	31 гв.
008	1944-09-01	ДА	ЛФ	2 ударная армия	1222 сап
008	1944-09-01	ДА	ЛФ	2 ударная армия	1811 сап
008	1944-09-01	ДА	ЛФ	2 ударная армия	71 одн брп
008	1944-09-01	ДА	ЛФ	2 ударная армия	72 одн брп
008	1944-09-01	ДА	ЛФ	2 ударная армия	21 исбр
008	1944-09-01	ДА	ЛФ	2 ударная армия	175 орро
009	1944-09-01	ДА	ЛФ	8 армия
009	1944-09-01	ДА	ЛФ	8 армия	108 ск
009	1944-09-01	ДА	ЛФ	8 армия	46 сд
009	1944-09-01	ДА	ЛФ	8 армия	90 сд
009	1944-09-01	ДА	ЛФ	8 армия	372 сд
009	1944-09-01	ДА	ЛФ	8 армия	109 ск 
009	1944-09-01	ДА	ЛФ	8 армия	72 сд
009	1944-09-01	ДА	ЛФ	8 армия	109 сд
009	1944-09-01	ДА	ЛФ	8 армия	79 УР
009	1944-09-01	ДА	ЛФ	8 армия	8 акп
009	1944-09-01	ДА	ЛФ	8 армия	18 адп 
009	1944-09-01	ДА	ЛФ	8 армия	65 лабр
009	1944-09-01	ДА	ЛФ	8 армия	2 тгабр
009	1944-09-01	ДА	ЛФ	8 армия	80 тгабр
009	1944-09-01	ДА	ЛФ	8 армия	42 минбр
009	1944-09-01	ДА	ЛФ	8 армия	23 адп 
009	1944-09-01	ДА	ЛФ	8 армия	79 лабр
009	1944-09-01	ДА	ЛФ	8 армия	3 тгабр
009	1944-09-01	ДА	ЛФ	8 армия	96 тгабр
009	1944-09-01	ДА	ЛФ	8 армия	28 минбр
009	1944-09-01	ДА	ЛФ	8 армия	81 пабр
009	1944-09-01	ДА	ЛФ	8 армия	138 кпап
009	1944-09-01	ДА	ЛФ	8 армия	70 пап
009	1944-09-01	ДА	ЛФ	8 армия	174 минп
009	1944-09-01	ДА	ЛФ	8 армия	504 минп
009	1944-09-01	ДА	ЛФ	8 армия	505 минп
009	1944-09-01	ДА	ЛФ	8 армия	18 гв. мп
009	1944-09-01	ДА	ЛФ	8 армия	38 гв. мп
009	1944-09-01	ДА	ЛФ	8 армия	1377 зенап
009	1944-09-01	ДА	ЛФ	8 армия	1387 зенап
009	1944-09-01	ДА	ЛФ	8 армия	1393 зенап
009	1944-09-01	ДА	ЛФ	8 армия	1413 зенап
009	1944-09-01	ДА	ЛФ	8 армия	73 озадн
009	1944-09-01	ДА	ЛФ	8 армия	92 озадн
009	1944-09-01	ДА	ЛФ	8 армия	108 озадн
009	1944-09-01	ДА	ЛФ	8 армия	27 отп
009	1944-09-01	ДА	ЛФ	8 армия	185 отп
009	1944-09-01	ДА	ЛФ	8 армия	938 сап
009	1944-09-01	ДА	ЛФ	8 армия	1198 сап
009	1944-09-01	ДА	ЛФ	8 армия	1 исбр
010	1944-09-01	ДА	ЛФ	21 армия
010	1944-09-01	ДА	ЛФ	21 армия	94 ск
010	1944-09-01	ДА	ЛФ	21 армия	135 сд
010	1944-09-01	ДА	ЛФ	21 армия	221 сд
010	1944-09-01	ДА	ЛФ	21 армия	286 сд
010	1944-09-01	ДА	ЛФ	21 армия	97 ск 
010	1944-09-01	ДА	ЛФ	21 армия	178 сд
010	1944-09-01	ДА	ЛФ	21 армия	314 сд
010	1944-09-01	ДА	ЛФ	21 армия	358 сд
010	1944-09-01	ДА	ЛФ	21 армия	98 ск 
010	1944-09-01	ДА	ЛФ	21 армия	177 сд
010	1944-09-01	ДА	ЛФ	21 армия	281 сд
010	1944-09-01	ДА	ЛФ	21 армия	381 сд
010	1944-09-01	ДА	ЛФ	21 армия	3 акп
010	1944-09-01	ДА	ЛФ	21 армия	35 габр
010	1944-09-01	ДА	ЛФ	21 армия	106 габр БМ
010	1944-09-01	ДА	ЛФ	21 армия	51 пабр
010	1944-09-01	ДА	ЛФ	21 армия	127 пабр
010	1944-09-01	ДА	ЛФ	21 армия	260 пап
010	1944-09-01	ДА	ЛФ	21 армия	94 иптап
010	1944-09-01	ДА	ЛФ	21 армия	641 иптап
010	1944-09-01	ДА	ЛФ	21 армия	34 оадн ОМ
010	1944-09-01	ДА	ЛФ	21 армия	40 оадн ОМ
010	1944-09-01	ДА	ЛФ	21 армия	534 минп
010	1944-09-01	ДА	ЛФ	21 армия	3 гв. мбр
010	1944-09-01	ДА	ЛФ	21 армия	6 гв. мбр
010	1944-09-01	ДА	ЛФ	21 армия	19 гв. мбр
010	1944-09-01	ДА	ЛФ	21 армия	318 гв. мп
010	1944-09-01	ДА	ЛФ	21 армия	177 озадн
010	1944-09-01	ДА	ЛФ	21 армия	27 гв.
010	1944-09-01	ДА	ЛФ	21 армия	260 гв.
010	1944-09-01	ДА	ЛФ	21 армия	351 гв. тсап
010	1944-09-01	ДА	ЛФ	21 армия	49 оабрб
010	1944-09-01	ДА	ЛФ	21 армия	23 одн брп
010	1944-09-01	ДА	ЛФ	21 армия	52 исбр
011	1944-09-01	ДА	ЛФ	23 армия
011	1944-09-01	ДА	ЛФ	23 армия	6 ск
011	1944-09-01	ДА	ЛФ	23 армия	13 сд
011	1944-09-01	ДА	ЛФ	23 армия	327 сд
011	1944-09-01	ДА	ЛФ	23 армия	382 сд
011	1944-09-01	ДА	ЛФ	23 армия	115 ск 
011	1944-09-01	ДА	ЛФ	23 армия	10 сд
011	1944-09-01	ДА	ЛФ	23 армия	92 сд
011	1944-09-01	ДА	ЛФ	23 армия	142 сд
011	1944-09-01	ДА	ЛФ	23 армия	47 гв. пабр
011	1944-09-01	ДА	ЛФ	23 армия	151 пап
011	1944-09-01	ДА	ЛФ	23 армия	336 пап
011	1944-09-01	ДА	ЛФ	23 армия	883 иптап
011	1944-09-01	ДА	ЛФ	23 армия	1072 иптап
011	1944-09-01	ДА	ЛФ	23 армия	456 минп
011	1944-09-01	ДА	ЛФ	23 армия	506 минп
011	1944-09-01	ДА	ЛФ	23 армия	567 минп
011	1944-09-01	ДА	ЛФ	23 армия	70 гв. мп
011	1944-09-01	ДА	ЛФ	23 армия	71 озадн
011	1944-09-01	ДА	ЛФ	23 армия	168 озадн
011	1944-09-01	ДА	ЛФ	23 армия	618 озадн
011	1944-09-01	ДА	ЛФ	23 армия	222 отп
011	1944-09-01	ДА	ЛФ	23 армия	226 отп
011	1944-09-01	ДА	ЛФ	23 армия	952 сап
011	1944-09-01	ДА	ЛФ	23 армия	20 исбр
012	1944-09-01	ДА	ЛФ	59 армия
012	1944-09-01	ДА	ЛФ	59 армия	43 ск
012	1944-09-01	ДА	ЛФ	59 армия	80 сд
012	1944-09-01	ДА	ЛФ	59 армия	124 сд
012	1944-09-01	ДА	ЛФ	59 армия	224 сд
012	1944-09-01	ДА	ЛФ	59 армия	125 опаб
012	1944-09-01	ДА	ЛФ	59 армия	289 опаб
012	1944-09-01	ДА	ЛФ	59 армия	34 гв. пабр
012	1944-09-01	ДА	ЛФ	59 армия	276 минп
012	1944-09-01	ДА	ЛФ	59 армия	43 зенад 
012	1944-09-01	ДА	ЛФ	59 армия	464 зенап
012	1944-09-01	ДА	ЛФ	59 армия	635 зенап
012	1944-09-01	ДА	ЛФ	59 армия	1463 зенап
012	1944-09-01	ДА	ЛФ	59 армия	1464 зенап
012	1944-09-01	ДА	ЛФ	59 армия	22 исбр
013	1944-09-01	ДА	ЛФ	13 воздушная армия
013	1944-09-01	ДА	ЛФ	13 воздушная армия	1583 зенап
013	1944-09-01	ДА	ЛФ	13 воздушная армия	113 бад
013	1944-09-01	ДА	ЛФ	13 воздушная армия	276 бад
013	1944-09-01	ДА	ЛФ	13 воздушная армия	281 шад
013	1944-09-01	ДА	ЛФ	13 воздушная армия	13 рап
013	1944-09-01	ДА	ЛФ	13 воздушная армия	283 иап
013	1944-09-01	ДА	ЛФ	13 воздушная армия	199 оапс
014	1944-09-01	ДА	ЛФ	8 ск
014	1944-09-01	ДА	ЛФ	7 сд
014	1944-09-01	ДА	ЛФ	249 сд
014	1944-09-01	ДА	ЛФ	132 опаб
014	1944-09-01	ДА	ЛФ	85 кап
014	1944-09-01	ДА	ЛФ	328 оадн ОМ
014	1944-09-01	ДА	ЛФ	330 оадн ОМ
014	1944-09-01	ДА	ЛФ	322 гв. мп
014	1944-09-01	ДА	ЛФ	8 овпдаан
014	1944-09-01	ДА	ЛФ	11 гв. озадн
014	1944-09-01	ДА	ЛФ	30 гв.
014	1944-09-01	ДА	ЛФ	152 тбр
014	1944-09-01	ДА	ЛФ	220 тбр
014	1944-09-01	ДА	ЛФ	46 гв.
014	1944-09-01	ДА	ЛФ	82 отп
014	1944-09-01	ДА	ЛФ	221 отп
014	1944-09-01	ДА	ЛФ	397 гв. тсап
014	1944-09-01	ДА	ЛФ	1495 сап
014	1944-09-01	ДА	ЛФ	1 оабрб
014	1944-09-01	ДА	ЛФ	3 оабрб
014	1944-09-01	ДА	ЛФ	2 мибр
014	1944-09-01	ДА	ЛФ	5 тпмп
014	1944-09-01	ДА	ЛФ	67 оиб
014	1944-09-01	ДА	ЛФ	21 пмб
014	1944-09-01	ДА	ЛФ	36 пмб
014	1944-09-01	ДА	ЛФ	42 пмб
014	1944-09-01	ДА	ЛФ	62 пмб
014	1944-09-01	ДА	ЛФ	9 ооб
015	1944-09-01	ДА	3 ПрибФ
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	12 гв. ск
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	245 сд
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	321 сд
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	14 гв. ск 
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	23 гв.
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	288 сд
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	119 ск 
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	53 гв.
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	376 сд
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	52 гв. сд
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	2 гв. адп 
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	4 гв. лабр
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	114 пабр
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	20 гв. габр БМ
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	5 кабр
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	20 лабр
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	137 пабр
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	1486 пап
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	1186 иптап
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	110 минп
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	618 минп
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	28 гв. мп
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	319 гв. мп
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	707 зенап
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	737 зенап
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	1465 зенап
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	1466 зенап
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	758 озадн
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	33 гв.
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	258 отп
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	370 гв. тсап
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	371 гв. тсап
015	1944-09-01	ДА	3 ПрибФ	1 ударная армия	49 исбр
016	1944-09-01	ДА	3 ПрибФ	54 армия
016	1944-09-01	ДА	3 ПрибФ	54 армия	7 ск
016	1944-09-01	ДА	3 ПрибФ	54 армия	198 сд
016	1944-09-01	ДА	3 ПрибФ	54 армия	229 сд
016	1944-09-01	ДА	3 ПрибФ	54 армия	123 ск 
016	1944-09-01	ДА	3 ПрибФ	54 армия	225 сд
016	1944-09-01	ДА	3 ПрибФ	54 армия	285 сд
016	1944-09-01	ДА	3 ПрибФ	54 армия	364 сд
016	1944-09-01	ДА	3 ПрибФ	54 армия	374 сд
016	1944-09-01	ДА	3 ПрибФ	54 армия	35 гв. пабр
016	1944-09-01	ДА	3 ПрибФ	54 армия	500 минп
016	1944-09-01	ДА	3 ПрибФ	54 армия	1467 зенап
016	1944-09-01	ДА	3 ПрибФ	54 армия	12 исбр
017	1944-09-01	ДА	3 ПрибФ	67 армия
017	1944-09-01	ДА	3 ПрибФ	67 армия	111 ск
017	1944-09-01	ДА	3 ПрибФ	67 армия	85 сд
017	1944-09-01	ДА	3 ПрибФ	67 армия	196 сд
017	1944-09-01	ДА	3 ПрибФ	67 армия	377 сд
017	1944-09-01	ДА	3 ПрибФ	67 армия	122 ск 
017	1944-09-01	ДА	3 ПрибФ	67 армия	43 сд
017	1944-09-01	ДА	3 ПрибФ	67 армия	98 сд
017	1944-09-01	ДА	3 ПрибФ	67 армия	189 сд
017	1944-09-01	ДА	3 ПрибФ	67 армия	7 пабр
017	1944-09-01	ДА	3 ПрибФ	67 армия	690 иптап
017	1944-09-01	ДА	3 ПрибФ	67 армия	533 минп
017	1944-09-01	ДА	3 ПрибФ	67 армия	244 зенап
017	1944-09-01	ДА	3 ПрибФ	67 армия	245 зенап
017	1944-09-01	ДА	3 ПрибФ	67 армия	463 зенап
017	1944-09-01	ДА	3 ПрибФ	67 армия	634 зенап
017	1944-09-01	ДА	3 ПрибФ	67 армия	511 отп
017	1944-09-01	ДА	3 ПрибФ	67 армия	768 сап
017	1944-09-01	ДА	3 ПрибФ	67 армия	1047 сап
017	1944-09-01	ДА	3 ПрибФ	67 армия	1433 сап
017	1944-09-01	ДА	3 ПрибФ	67 армия	23 исбр
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	116 ск
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	86 сд
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	146 сд
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	118 ск 
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	128 сд
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	282 сд
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	326 сд
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	291 сд
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	2 адп 
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	16 гв. пабр
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	48 гв. тгабр
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	52 гв. отпадн
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	48 иптабр
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	12 гв. мбр
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	72 озадн
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	16 тбр
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	724 сап
018	1944-09-01	ДА	3 ПрибФ	Группа войск Северного боевого участка	8 ооб
019	1944-09-01	ДА	3 ПрибФ	14 воздушная армия
019	1944-09-01	ДА	3 ПрибФ	14 воздушная армия	7 шак
019	1944-09-01	ДА	3 ПрибФ	14 воздушная армия	206 шад
019	1944-09-01	ДА	3 ПрибФ	14 воздушная армия	289 шад
019	1944-09-01	ДА	3 ПрибФ	14 воздушная армия	305 шад
019	1944-09-01	ДА	3 ПрибФ	14 воздушная армия	330 иад
019	1944-09-01	ДА	3 ПрибФ	14 воздушная армия	151 крап
019	1944-09-01	ДА	3 ПрибФ	14 воздушная армия	844 трап
020	1944-09-01	ДА	3 ПрибФ	2 адп
020	1944-09-01	ДА	3 ПрибФ	121 габр БМ
020	1944-09-01	ДА	3 ПрибФ	970 зенап
020	1944-09-01	ДА	3 ПрибФ	461 озадн
020	1944-09-01	ДА	3 ПрибФ	613 озадн
020	1944-09-01	ДА	3 ПрибФ	10 тк 
020	1944-09-01	ДА	3 ПрибФ	178 тбр
020	1944-09-01	ДА	3 ПрибФ	183 тбр
020	1944-09-01	ДА	3 ПрибФ	186 тбр
020	1944-09-01	ДА	3 ПрибФ	727 сап
020	1944-09-01	ДА	3 ПрибФ	1450 сап
020	1944-09-01	ДА	3 ПрибФ	287 минп
020	1944-09-01	ДА	3 ПрибФ	1693 зенап
020	1944-09-01	ДА	3 ПрибФ	372 гв. сап
020	1944-09-01	ДА	3 ПрибФ	285 омб 
020	1944-09-01	ДА	3 ПрибФ	2 оабрб
020	1944-09-01	ДА	3 ПрибФ	35 одн брп
020	1944-09-01	ДА	3 ПрибФ	123 озенбрп
020	1944-09-01	ДА	3 ПрибФ	107 оапс
020	1944-09-01	ДА	3 ПрибФ	9 шисбр
020	1944-09-01	ДА	3 ПрибФ	25 пмб
020	1944-09-01	ДА	3 ПрибФ	38 пмб
020	1944-09-01	ДА	3 ПрибФ	159 пмб
021	1944-09-01	ДА	2 ПрибФ
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия	44 ск
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия	115 сд
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия	319 сд
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия	325 сд
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия	79 ск 
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия	150 сд
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия	171 сд
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия	207 сд
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия	100 ск 
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия	21 гв.
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия	200 сд
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия	136 пабр
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия	134 габр
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия	385 гап
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия	827 гап
021	1944-09-01	ДА	2 ПрибФ	3 ударная армия	4 минбр 
